CLASIFICACION,MEDIDOR
SUBESTACION,16567737
SUBESTACION,16567738
SUBESTACION,16567739
SUBESTACION,16567740
SUBESTACION,16567757
SUBESTACION,16567758
SUBESTACION,16567759
SUBESTACION,16567760
SUBESTACION,16567761
SUBESTACION,16567762
SUBESTACION,16567763
SUBESTACION,16567764
SUBESTACION,16951175
SUBESTACION,16951176
SUBESTACION,16951177
SUBESTACION,16951178
SUBESTACION,16951179
SUBESTACION,16951180
SUBESTACION,16951181
SUBESTACION,16951182
SUBESTACION,16951199
SUBESTACION,16951200
SUBESTACION,16951201
SUBESTACION,16951202
SUBESTACION,16951203
SUBESTACION,16951204
SUBESTACION,16951205
SUBESTACION,16951206
SUBESTACION,16951207
SUBESTACION,16951208
SUBESTACION,16951209
SUBESTACION,16951210
SUBESTACION,16951214
SUBESTACION,16951219
SUBESTACION,16951220
SUBESTACION,16951221
SUBESTACION,16951222
ALMACEN,8882387
ALMACEN,11473876
ALMACENAMIENTO DE GAS,35925295
ANTENA DE TELECOMUNICACIONES,14758032
ANTENA DE TELECOMUNICACIONES,15842893
ANTENA DE TELECOMUNICACIONES,28006111
AVICOLA,16951195
AVICOLA,20037228
AVICOLA,35925318
AVICOLA,35925319
AVICOLA,52071435
AVICOLA,52073323
AVICOLA,53307855
BALSERA,11473885
BANANERA,53307845
BANANERA,53307850
BANANERA,53307863
BANCO,4384271
BANCO,8308478
BANCO,8325048
BANCO,11473893
BANCO,13892522
BANCO,15029847
BANCO,19695957
BANCO,20037226
BANCO,35924884
BANCO,35947473
BANCO,52071411
BANCO,52071416
BANCO,52073226
BOMBEO DE AGUA,20037224
BOMBEO DE AGUA,35947270
BOMBEO DE AGUA,35947474
BOMBEO DE AGUA,53307843
BOMBEO DE AGUA,53307870
BOMBEO DE AGUA,53307875
BOMBEO DE AGUA,58706719
BOMBEO DE AGUA PARA  BANANO,11473882
BOMBEO DE AGUA PARA  BANANO,16567732
CASA DE RETIRO,15029970
CASA DE RETIRO,15842882
CENTRO COMERCIAL,16567751
CENTRO COMERCIAL,35925030
CENTRO DE SALUD,8325467
CENTRO DE SALUD,11473853
CENTRO DE SALUD,15029837
CENTRO DE SALUD,35924863
CENTRO DE SALUD,35924904
CENTRO DE SALUD,52073336
CLINICA,11473835
CLINICA,52073227
CLINICA,58706659
COMERCIAL,16567743
COMERCIAL,28006838
COMERCIAL,28006904
COMERCIAL,35947268
COMERCIAL,35947274
COMERCIAL,52073243
COMERCIAL,52073255
COMERCIAL,52073302
COMERCIAL,58706713
COMERCIAL,58706746
COMIDA RAPIDA,52073366
COMIDA RAPIDA,52073376
COMISARIATO,11473866
COMISARIATO,11474027
COMISARIATO,13893006
COMISARIATO,16567749
COMISARIATO,16951212
COMISARIATO,28006750
COMISARIATO,52071445
COMISARIATO,52073218
COMISARIATO,52073240
COMISARIATO,52073348
COMISARIATO,58706634
COMISARIATO,58706635
COMISARIATO,58706706
COMPLEJO TURISTICO,11473857
COMPLEJO TURISTICO,52071429
COMPLEJO TURISTICO,52073312
CONCESIONARIA,52073200
CONSTRUCTORA,52072438
CONSTRUCTORA,53307854
CONVENTO,35946584
CRIADORA DE POLLOS,41172835
CRIADORA DE POLLOS,52073317
CULTIVOS AGRICOLAS,11473890
CULTIVOS AGRICOLAS,28877074
CULTIVOS AGRICOLAS,28908871
CULTIVOS AGRICOLAS,35946538
CULTIVOS AGRICOLAS,35946578
CULTIVOS AGRICOLAS,41172858
CULTIVOS AGRICOLAS,41175612
CULTIVOS AGRICOLAS,41175730
EMPACADORA DE BANANO,11473869
EMPACADORA DE BANANO,11481107
EMPACADORA DE BANANO,13893013
EMPACADORA DE BANANO,17548290
EMPACADORA DE BANANO,28006779
EMPACADORA DE BANANO,35946920
EMPACADORA DE BANANO,35946923
EMPACADORA DE BANANO,35946939
EMPACADORA DE BANANO,58706703
ENTIDAD CREDITICIA,6982464
ENTIDAD CREDITICIA,8025646
ENTIDAD CREDITICIA,52073163
ENTIDAD CREDITICIA,52095074
ENTIDAD CREDITICIA,58706721
ENTIDAD CREDITICIA,58706730
ENTIDAD MUNICIPAL,14059565
ENTIDAD MUNICIPAL,52073319
ENTIDAD MUNICIPAL,52073321
ENTIDAD MUNICIPAL,52073341
ENTIDAD MUNICIPAL,52073354
ENTIDAD MUNICIPAL,53307857
ENTIDAD PRIVADA,13892519
ENTIDAD PRIVADA,15029836
ENTIDAD PRIVADA,15029987
ENTIDAD PRIVADA,15029990
ENTIDAD PRIVADA,15029993
ENTIDAD PRIVADA,15842892
ENTIDAD PRIVADA,16567731
ENTIDAD PRIVADA,16567741
ENTIDAD PRIVADA,16567755
ENTIDAD PRIVADA,20037210
ENTIDAD PRIVADA,20037211
ENTIDAD PRIVADA,20037212
ENTIDAD PRIVADA,20037218
ENTIDAD PRIVADA,20037223
ENTIDAD PRIVADA,28006119
ENTIDAD PRIVADA,28006285
ENTIDAD PRIVADA,28006860
ENTIDAD PRIVADA,28507639
ENTIDAD PRIVADA,28908384
ENTIDAD PRIVADA,28908385
ENTIDAD PRIVADA,35925248
ENTIDAD PRIVADA,35925260
ENTIDAD PRIVADA,35946537
ENTIDAD PRIVADA,35946562
ENTIDAD PRIVADA,35946586
ENTIDAD PRIVADA,35946918
ENTIDAD PRIVADA,35946928
ENTIDAD PRIVADA,35946930
ENTIDAD PRIVADA,35947045
ENTIDAD PRIVADA,35947183
ENTIDAD PRIVADA,35947186
ENTIDAD PRIVADA,35968895
ENTIDAD PRIVADA,41175775
ENTIDAD PRIVADA,52071410
ENTIDAD PRIVADA,52071417
ENTIDAD PRIVADA,52071427
ENTIDAD PRIVADA,52071437
ENTIDAD PRIVADA,52071439
ENTIDAD PRIVADA,52071450
ENTIDAD PRIVADA,52071451
ENTIDAD PRIVADA,52071456
ENTIDAD PRIVADA,52072435
ENTIDAD PRIVADA,52072446
ENTIDAD PRIVADA,52072456
ENTIDAD PRIVADA,52072457
ENTIDAD PRIVADA,52073164
ENTIDAD PRIVADA,52073179
ENTIDAD PRIVADA,52073182
ENTIDAD PRIVADA,52073193
ENTIDAD PRIVADA,52073194
ENTIDAD PRIVADA,52073198
ENTIDAD PRIVADA,52073201
ENTIDAD PRIVADA,52073203
ENTIDAD PRIVADA,52073220
ENTIDAD PRIVADA,52073224
ENTIDAD PRIVADA,52073238
ENTIDAD PRIVADA,52073244
ENTIDAD PRIVADA,52073252
ENTIDAD PRIVADA,52073257
ENTIDAD PRIVADA,52073269
ENTIDAD PRIVADA,52073270
ENTIDAD PRIVADA,52073274
ENTIDAD PRIVADA,52073277
ENTIDAD PRIVADA,52073280
ENTIDAD PRIVADA,52073281
ENTIDAD PRIVADA,52073287
ENTIDAD PRIVADA,52073298
ENTIDAD PRIVADA,52073305
ENTIDAD PRIVADA,52073310
ENTIDAD PRIVADA,52073315
ENTIDAD PRIVADA,52073343
ENTIDAD PRIVADA,52073344
ENTIDAD PRIVADA,52073346
ENTIDAD PRIVADA,52073362
ENTIDAD PRIVADA,52073371
ENTIDAD PRIVADA,52073374
ENTIDAD PRIVADA,52073377
ENTIDAD PRIVADA,52073383
ENTIDAD PRIVADA,52073384
ENTIDAD PRIVADA,52095070
ENTIDAD PRIVADA,53307830
ENTIDAD PRIVADA,53307844
ENTIDAD PRIVADA,53307859
ENTIDAD PRIVADA,53307860
ENTIDAD PRIVADA,53307862
ENTIDAD PRIVADA,53307869
ENTIDAD PRIVADA,53307871
ENTIDAD PRIVADA,53444721
ENTIDAD PRIVADA,53444725
ENTIDAD PRIVADA,53444729
ENTIDAD PRIVADA,53444734
ENTIDAD PRIVADA,53444735
ENTIDAD PRIVADA,53444739
ENTIDAD PRIVADA,53444740
ENTIDAD PRIVADA,53444743
ENTIDAD PRIVADA,58706631
ENTIDAD PRIVADA,58706633
ENTIDAD PRIVADA,58706639
ENTIDAD PRIVADA,58706645
ENTIDAD PRIVADA,58706651
ENTIDAD PRIVADA,58706652
ENTIDAD PRIVADA,58706657
ENTIDAD PRIVADA,58706658
ENTIDAD PRIVADA,58706663
ENTIDAD PRIVADA,58706674
ENTIDAD PRIVADA,58706685
ENTIDAD PRIVADA,58706691
ENTIDAD PRIVADA,58706693
ENTIDAD PRIVADA,58706704
ENTIDAD PRIVADA,58706707
ENTIDAD PRIVADA,58706709
ENTIDAD PRIVADA,58706710
ENTIDAD PRIVADA,58706724
ENTIDAD PRIVADA,58706725
ENTIDAD PRIVADA,58706728
ENTIDAD PRIVADA,58706729
ENTIDAD PRIVADA,58706731
ENTIDAD PRIVADA,58706733
ENTIDAD PRIVADA,58706734
ENTIDAD PRIVADA,58706737
ENTIDAD PRIVADA,58706744
ENTIDAD PRIVADA,59814797
ENTIDAD PRIVADA,59814799
ENTIDAD PRIVADA,59814800
ENTIDAD PRIVADA,59814801
ENTIDAD PRIVADA,59814805
ENTIDAD PRIVADA,59814809
ENTIDAD PUBLICA,5461833
ENTIDAD PUBLICA,6982457
ENTIDAD PUBLICA,8308477
ENTIDAD PUBLICA,8325472
ENTIDAD PUBLICA,8882390
ENTIDAD PUBLICA,8882396
ENTIDAD PUBLICA,11473839
ENTIDAD PUBLICA,11563113
ENTIDAD PUBLICA,11563116
ENTIDAD PUBLICA,13892524
ENTIDAD PUBLICA,13893005
ENTIDAD PUBLICA,13893015
ENTIDAD PUBLICA,14758031
ENTIDAD PUBLICA,14758040
ENTIDAD PUBLICA,15029834
ENTIDAD PUBLICA,16567730
ENTIDAD PUBLICA,16567736
ENTIDAD PUBLICA,20037205
ENTIDAD PUBLICA,35925134
ENTIDAD PUBLICA,35925262
ENTIDAD PUBLICA,35925500
ENTIDAD PUBLICA,35946931
ENTIDAD PUBLICA,35947263
ENTIDAD PUBLICA,35947439
ENTIDAD PUBLICA,52071440
ENTIDAD PUBLICA,52072444
ENTIDAD PUBLICA,52072451
ENTIDAD PUBLICA,52073196
ENTIDAD PUBLICA,52073199
ENTIDAD PUBLICA,52073215
ENTIDAD PUBLICA,52073216
ENTIDAD PUBLICA,52073219
ENTIDAD PUBLICA,52073247
ENTIDAD PUBLICA,52073265
ENTIDAD PUBLICA,52073367
ENTIDAD PUBLICA,52073379
ENTIDAD PUBLICA,52073380
ENTIDAD PUBLICA,52073382
ENTIDAD PUBLICA,53307828
ENTIDAD PUBLICA,53307837
ENTIDAD PUBLICA,53307852
ENTIDAD PUBLICA,53307856
ENTIDAD PUBLICA,53307861
ENTIDAD PUBLICA,53307872
ENTIDAD PUBLICA,53307873
ENTIDAD PUBLICA,53444723
ENTIDAD PUBLICA,53444730
ENTIDAD PUBLICA,58706629
ENTIDAD PUBLICA,58706642
ENTIDAD PUBLICA,58706655
ENTIDAD PUBLICA,58706680
ENTIDAD PUBLICA,58706717
ENTIDAD PUBLICA,58706732
ENTIDAD PUBLICA,58706735
ENVASADORA DE AGUA,35925259
ENVASADORA DE AGUA,35946575
ENVASADORA DE AGUA,35947260
ENVASADORA DE AGUA,35968887
ENVASADORA DE AGUA,52073331
ENVASADORA DE AGUA,59814804
ESTACION DE BOMBEO,8325470
ESTACION DE BOMBEO,11473860
ESTACION DE BOMBEO,11473861
ESTACION DE BOMBEO,11473874
ESTACION DE BOMBEO,11474018
ESTACION DE BOMBEO,11474030
ESTACION DE BOMBEO,15029843
ESTACION DE BOMBEO,15029844
ESTACION DE BOMBEO,15029846
ESTACION DE BOMBEO,15029977
ESTACION DE BOMBEO,16567746
ESTACION DE BOMBEO,16951218
ESTACION DE BOMBEO,35925249
ESTACION DE BOMBEO,35925506
ESTACION DE BOMBEO,52073234
ESTACION DE BOMBEO,52073283
ESTACION DE BOMBEO,58706656
EXTRACCION DE ACEITE,16567733
FABRICA DE FIDEOS,11474016
FARMACIA,15842884
FARMACIA,35946560
FARMACIA,58706662
FARMACIA,59814806
FUMIGACION AEREA,11473841
FUMIGACION AEREA,11474022
FUMIGACION AEREA,35947044
FUMIGACION AEREA,52073295
GANADERIA,52073373
GASOLINERA,13892518
GASOLINERA,52073221
GASOLINERA,52073290
HOSPITAL,52073173
HOSPITAL,52073264
HOSPITAL,58706726
HOTEL,11473864
HOTEL,13892520
HOTEL,52071420
HOTEL,52073259
IGLESIA,11473867
IGLESIA,14758200
IGLESIA,15029835
IGLESIA,35924864
IGLESIA,35924866
IGLESIA,52071447
IGLESIA,52073337
IGLESIA,52073345
IGLESIA,52073352
IGLESIA,58706647
INCUBADORA,52095073
INCUBADORA,11473880
INDUSTRIA DE PLASTICOS,20037219
INGENIO AZUCARERO,35925291
INMOBILARIA,20037209
LABORATORIO-ELIMINAR,28908843
LABORATORIO-ELIMINAR,75482841
LICORERIA,35946543
ENTIDAD PRIVADA,52073378
LUBRICADORA,58706632
MANTENIMIENTO DE VEHICULOS,28006893
ENTIDAD PRIVADA,52071428
MOLINO DE GRANOS,52071453
MOTEL,14059567
MOTEL,35924903
MOTEL,41175719
MOTEL,58706654
OFICINAS,8882399
OFICINAS,14059558
OFICINAS,14059566
OFICINAS,14059568
PALENQUE,35947225
PALETERA,11473877
PALETERA,35925306
PALETERA,35947222
PALETERA,52072453
PANADERIA,35924882
PANADERIA,58706649
PILADORA,8325458
PILADORA,8325459
PILADORA,8325466
PILADORA,9876425
PILADORA,11473865
PILADORA,13892521
PILADORA,15029828
PILADORA,15029829
PILADORA,15029988
PILADORA,15842921
PILADORA,16567750
PILADORA,16567752
PILADORA,16567753
PILADORA,16951216
PILADORA,20037208
PILADORA,20037220
PILADORA,35925308
PILADORA,35925320
PILADORA,35925498
PILADORA,35947187
PILADORA,35947224
PILADORA,35947271
PILADORA,52071438
PILADORA,52071444
PILADORA,52071455
PILADORA,52073288
PILADORA,52073289
PILADORA,52073292
PILADORA,52073304
PILADORA,52073322
PILADORA,52073340
PILADORA,58706694
PILADORA,58706742
PROCESAMIENTO DE FRUTAS,15029974
PROCESAMIENTO DE PLASTICO,11473870
RECICLADORA,52071433
RECICLADORA,52073275
SALON DE EVENTOS,52073359
SECADORA DE MAIZ,11473863
SECADORA DE MAIZ,14059541
SECADORA DE MAIZ,14758033
SECADORA DE MAIZ,14758202
SECADORA DE MAIZ,20037214
SECADORA DE MAIZ,35925294
SECADORA DE MAIZ,35947180
SECADORA DE MAIZ,35947182
SECADORA DE MAIZ,35947190
SECADORA DE MAIZ,35947221
SECADORA DE MAIZ,52073239
SECADORA DE MAIZ,52073316
SECADORA DE MAIZ,58706712
SECADORA DE MAIZ,58706727
SECADORA DE MAIZ,58706739
SECADORA DE MAIZ,58706740
SECADORA DE MAIZ,59814798
ENTIDAD PRIVADA,16567435
TALLER INDUSTRIAL,35946936
TALLER INDUSTRIAL,52073195
TALLER INDUSTRIAL,52073358
TALLER INDUSTRIAL,58706714
TERMINAL TERRESTRE,58706708
ENTIDAD PRIVADA,35925296
TRANSPORTE DE VALORES,14059544
UNIDAD EDUCATIVA,8882395
UNIDAD EDUCATIVA,8882397
UNIDAD EDUCATIVA,13892479
UNIDAD EDUCATIVA,13892523
UNIDAD EDUCATIVA,28006723
UNIDAD EDUCATIVA,52073169
UNIDAD EDUCATIVA,52073213
UNIDAD EDUCATIVA,53444720
UNIVERSIDAD,14059542
UNIVERSIDAD,52073329
VENTA DE AGROQUIMICOS,15842885
VENTA DE ELECTRODOMESTICOS,13892478
VENTA DE ELECTRODOMESTICOS,17548289
VENTA DE ELECTRODOMESTICOS,28007264
VENTANAS,53444731
ENTIDAD PRIVADA,15842894
